import_ref;category_code;caseref;country;origin;type_code;alt_ref;responsible;filing_date;filing_num;registration_date;registration_num;publication_date;publication_num;expire_date;notes;parent_ref;import_ref;type_code;value;language;display_order;type_code;value;language;display_order;import_ref;actor_display_name;role;display_order;rate;actor_ref;date;import_ref;actor_display_name;role;display_order;rate;actor_ref;date;import_ref;actor_display_name;role;display_order;rate;actor_ref;date
IMP-055;TM;TM21FERMENTALG11;UK;;;;admin;2018-12-22;UK00801474905;2019-12-09;UK00801474905;;;2028-12-22;octroi;;IMP-055;TIT;FERMENTALG;en;1;CL;1, 2, 3, 5, 42;en;1;IMP-055;FERMENTALG;CLI;1;;;;IMP-055;FERMENTALG;OWN;1;;;;IMP-055;COURTIAU;CNT;1;;;
IMP-056;TM;TM21FERMENTALG11;JP;WO;;;admin;2018-12-22;1474905;;;;;2028-12-22;octroi;;IMP-056;TIT;FERMENTALG;en;1;CL;1, 2, 3, 5, 42;en;1;IMP-056;FERMENTALG;CLI;1;;;;IMP-056;FERMENTALG;OWN;1;;;;IMP-056;COURTIAU;CNT;1;;;
IMP-057;TM;TM21FERMENTALG11;US;WO;;;admin;2018-12-22;1474905;2020-02-11;5980350;;;2028-12-22;octroi;;IMP-057;TIT;FERMENTALG;en;1;CL;1, 2, 3, 5, 42;en;1;IMP-057;FERMENTALG;CLI;1;;;;IMP-057;FERMENTALG;OWN;1;;;;IMP-057;COURTIAU;CNT;1;;;
IMP-058;TM;TM21FERMENTALG11;CN;WO;;;admin;2018-12-22;1474905;2019-08-22;;;;2028-12-22;octroi;;IMP-058;TIT;FERMENTALG;en;1;CL;1, 2, 3, 5, 42;en;1;IMP-058;FERMENTALG;CLI;1;;;;IMP-058;FERMENTALG;OWN;1;;;;IMP-058;COURTIAU;CNT;1;;;
IMP-059;TM;TM21FERMENTALG11;KR;WO;;;admin;2022-03-05;1474905;;;;;2028-12-22;octroi;;IMP-059;TIT;FERMENTALG;en;1;CL;1, 5;en;1;IMP-059;FERMENTALG;CLI;1;;;;IMP-059;FERMENTALG;OWN;1;;;;IMP-059;COURTIAU;CNT;1;;;
IMP-060;TM;TM21FERMENTALG11;MY;WO;;;admin;2022-03-05;1474905;;;;;2028-12-22;octroi;;IMP-060;TIT;FERMENTALG;en;1;CL;1, 5;en;1;IMP-060;FERMENTALG;CLI;1;;;;IMP-060;FERMENTALG;OWN;1;;;;IMP-060;COURTIAU;CNT;1;;;
IMP-061;TM;TM21FERMENTALG11;NO;WO;;;admin;2022-03-05;1474905;;;;;2028-12-22;octroi;;IMP-061;TIT;FERMENTALG;en;1;CL;1, 5;en;1;IMP-061;FERMENTALG;CLI;1;;;;IMP-061;FERMENTALG;OWN;1;;;;IMP-061;COURTIAU;CNT;1;;;
IMP-062;TM;TM21FERMENTALG11;TH;WO;;;admin;2022-03-05;1474905;;;;;2028-12-22;En attente;;IMP-062;TIT;FERMENTALG;en;1;CL;1, 5;en;1;IMP-062;FERMENTALG;CLI;1;;;;IMP-062;FERMENTALG;OWN;1;;;;IMP-062;COURTIAU;CNT;1;;;
IMP-063;TM;TM21FERMENTALG11;VN;WO;;;admin;2022-03-05;1474905;;;;;2028-12-22;octroi;;IMP-063;TIT;FERMENTALG;en;1;CL;1, 5;en;1;IMP-063;FERMENTALG;CLI;1;;;;IMP-063;FERMENTALG;OWN;1;;;;IMP-063;COURTIAU;CNT;1;;;
IMP-064;TM;TM24FERMENTALG12;CA;;;;admin;2018-12-20;1 937 418;2025-04-04;;;;2035-04-04;enregistrée;;IMP-064;TIT;FERMENTALG;en;1;CL;1, 2, 3, 5, 42;en;1;IMP-064;FERMENTALG;CLI;1;;;;IMP-064;FERMENTALG;OWN;1;;;;IMP-064;COURTIAU;CNT;1;;;
IMP-065;TM;TM25LINEXOS01;FR;;;;admin;2019-01-14;4515452;;4515452;2019-02-08;;2029-01-14;;;IMP-065;TIT;BELOOGA;en;1;CL;9, 42;en;1;IMP-065;LINEXOS;CLI;1;;;;IMP-065;LINEXOS;OWN;1;;;;IMP-065;;CNT;1;;;
IMP-066;TM;TM26FERMENTALG13;FR;;;;admin;2019-02-15;4525695;2019-02-15;4525695;2019-03-08;;2029-02-15;Retrait classe 33 suite litige;;IMP-066;TIT;BLUE ORIGINS;en;1;CL;1, 2, 5, 29, 30, 32;en;1;IMP-066;FERMENTALG;CLI;1;;;;IMP-066;FERMENTALG;OWN;1;;;;IMP-066;COURTIAU;CNT;1;;;
IMP-067;TM;TM27GOODGAME01;FR;;;;admin;2019-03-01;4530038;2019-03-01;4530038;2019-03-22;;2029-03-01;;;IMP-067;TIT;GOODGAME;en;1;CL;16, 18, 25, 28, 35, 42;en;1;IMP-067;GOODGAME;CLI;1;;;;IMP-067;GOODGAME;OWN;1;;;;IMP-067;AWOMO;CNT;1;;;
IMP-068;TM;TM33RATZ01;FR;;;;admin;2018-12-22;4510611;2018-12-22;4510611;2019-01-11;;2028-12-22;;;IMP-068;TIT;HARRINGTON;en;1;CL;32;en;1;IMP-068;CHRISTOPHE RATZ;CLI;1;;;;IMP-068;CHRISTOPHE RATZ;OWN;1;;;;IMP-068;RATZ;CNT;1;;;
IMP-069;TM;TM28BOUCHAGESDELAGE02;WO;WO;;;admin;2019-01-11;1472810;;;;;2029-01-11;;;IMP-069;TIT;WOOD LOOK;en;1;CL;17, 20;en;1;IMP-069;BOUCHAGES DELAGE;CLI;1;;;;IMP-069;BOUCHAGES DELAGE;OWN;1;;;;IMP-069;;CNT;1;;;
IMP-070;TM;TM29BALDES01;FR;;;;admin;2019-04-02;4539702;2019-04-02;4539702;2019-04-26;;2029-04-02;;;IMP-070;TIT;VINOCYCLE;en;1;CL;39, 41, 43;en;1;IMP-070;SARL BALDES JEAN LUC TRIGUEDINA;CLI;1;;;;IMP-070;SARL BALDES JEAN LUC TRIGUEDINA;OWN;1;;;;IMP-070;BALDES;CNT;1;;;
IMP-071;TM;TM30BALDES02;FR;;;;admin;2019-04-02;4539707;2019-04-02;4539707;2019-04-26;;2029-04-02;;;IMP-071;TIT;SAINTE COIFFE;en;1;CL;32, 33, 35;en;1;IMP-071;SARL BALDES JEAN LUC TRIGUEDINA;CLI;1;;;;IMP-071;SARL BALDES JEAN LUC TRIGUEDINA;OWN;1;;;;IMP-071;BALDES;CNT;1;;;
IMP-072;TM;TM31MHW04;FR;;;;admin;2019-04-12;4542883;2019-04-12;4542883;2019-05-03;;2029-04-12;;;IMP-072;TIT;LOGO DI;en;1;CL;3, 5, 44;en;1;IMP-072;MHW;CLI;1;;;;IMP-072;MHW;OWN;1;;;;IMP-072;;CNT;1;;;
IMP-073;TM;TM32MHW05;FR;;;;admin;2019-04-12;4542889;2019-04-12;4542889;2019-05-03;;2029-04-12;;;IMP-073;TIT;LOGO DERMO IONIQ;en;1;CL;3, 5, 44;en;1;IMP-073;MHW;CLI;1;;;;IMP-073;MHW;OWN;1;;;;IMP-073;;CNT;1;;;
IMP-074;TM;TM34DELAGE02;FR;;;;admin;2019-05-07;4549547;2019-05-07;4549547;2019-05-31;;2029-05-07;;;IMP-074;TIT;CARENTONUS;en;1;CL;3, 9, 14, 16, 18, 20, 21, 24, 25, 28, 29, 30, 32, 33, 35, 39, 41, 43;en;1;IMP-074;Christian DELAGE;CLI;1;;;;IMP-074;Christian DELAGE;OWN;1;;;;IMP-074;DELAGE C;CNT;1;;;
IMP-075;TM;TM35RATZ02;FR;;;;admin;2009-05-14;3650463;2009-05-14;3650463;2009-06-19;;2029-05-14;Licence à la Brasserie;;IMP-075;TIT;LOGO PEPITA DE LEMON;en;1;CL;32, 33, 43;en;1;IMP-075;CHRISTOPHE RATZ;CLI;1;;;;IMP-075;CHRISTOPHE RATZ;OWN;1;;;;IMP-075;RATZ;CNT;1;;;
IMP-076;TM;TM36RATZ03;FR;;;;admin;2009-07-06;3662421;2009-07-06;3662421;2009-08-14;;2029-07-06;Licence à la Brasserie;;IMP-076;TIT;LOGO BRASSEE EN QUERCY;en;1;CL;32, 33, 43;en;1;IMP-076;CHRISTOPHE RATZ;CLI;1;;;;IMP-076;CHRISTOPHE RATZ;OWN;1;;;;IMP-076;RATZ;CNT;1;;;
IMP-077;TM;TM37RATZ04 ;FR;;;;admin;2009-12-22;3700600;2009-12-22;3700600;2010-01-29;;2029-12-22;Licence à la Brasserie;;IMP-077;TIT;SAINT PATRICK;en;1;CL;32 33;en;1;IMP-077;CHRISTOPHE RATZ;CLI;1;;;;IMP-077;CHRISTOPHE RATZ;OWN;1;;;;IMP-077;RATZ;CNT;1;;;
IMP-078;TM;TM38RATZ05;FR;;;;admin;2010-02-15;3712640;2010-02-15;3712640;2010-03-26;;2030-02-15;Licence à la Brasserie;;IMP-078;TIT;SHAMROCK BEER;en;1;CL;32;en;1;IMP-078;CHRISTOPHE RATZ;CLI;1;;;;IMP-078;CHRISTOPHE RATZ;OWN;1;;;;IMP-078;RATZ;CNT;1;;;
IMP-079;TM;TM39RATZ06;FR;;;;admin;2001-03-29;3092243;2001-03-29;3092243;2001-05-04;;2031-03-29;Licence à la Brasserie;;IMP-079;TIT;LOGO BIERE D'OLT;en;1;CL;32, 35;en;1;IMP-079;CHRISTOPHE RATZ;CLI;1;;;;IMP-079;CHRISTOPHE RATZ;OWN;1;;;;IMP-079;RATZ;CNT;1;;;
